topic,question,A,B,C,D,correct
Esports,What is recoil control in CODM?,Managing gun kickback,Reload speed,Fire rate,Damage,A
Esports,What is farm priority in Mobile Legends?,Who gets resources first,Attack order,Defense strategy,Item build,A
Esports,Which stat affects cooldown reduction in Mobile Legends?,CDR,ATK,DEF,HP,A
Esports,What is crosshair placement in CODM?,Aiming at head level,Random aim,Looking down,Looking up,A
C++,Which header is used for input/output?,iostream,stdio.h,conio.h,fstream,A
C++,What is the scope resolution operator?,::,.,->,:,A
C++,Which keyword is used for exception handling?,try,except,catch,finally,A
C++,What does STL stand for?,Standard Template Library,System Type Library,Standard Type Logic,Static Template Library,A
C++,Which is not an access specifier?,public,private,friend,protected,C
C++,What is the size of int typically?,1 byte,2 bytes,4 bytes,8 bytes,C
C++,Which operator is used for dynamic memory allocation?,malloc,new,alloc,create,B
C++,What does endl do?,End line,End loop,End program,End function,A
C++,Which is not a loop?,for,while,repeat,do-while,C
C++,What is function overloading?,Same name different parameters,Different name same parameters,No parameters,Static function,A
C++,Which keyword prevents modification?,const,static,final,readonly,A
C++,What is destructor?,Cleanup function,Constructor,Member function,Friend function,A
C++,Which operator accesses member through pointer?,->,.,::,&,A
C++,What is virtual function?,Runtime polymorphism,Compile-time polymorphism,Static function,Inline function,A
C++,Which is reference operator?,&,*,@,#,A
C++,What does cin do?,Input,Output,Both,Neither,A
C++,Which is not storage class?,auto,static,extern,volatile,D
C++,What is namespace?,Logical grouping,Class,Function,Variable,A
C++,Which keyword defines template?,template,generic,class,type,A
C++,What is friend function?,Access private members,Normal function,Static function,Virtual function,A
C++,Which container is LIFO?,queue,stack,vector,list,B
C++,What does vector resize do?,Change size,Delete,Insert,Sort,A
C++,Which is unary operator?,++,+,==,&&,A
C++,What is inline function?,Function expansion,Normal function,Virtual function,Static function,A
C++,Which is not relationship?,Inheritance,Composition,Association,Declaration,D
C++,What does static keyword do in function?,Retains value,No effect,Makes global,Deletes variable,A
C++,Which header is for file handling?,fstream,iostream,stdio.h,file.h,A
C++,What is pure virtual function?,Abstract function,Normal function,Static function,Inline function,A
C++,Which operator cannot be overloaded?,sizeof,+,-,*,A
C++,What does delete do?,Deallocate memory,Delete file,Remove variable,Clear screen,A
C++,Which is associative container?,vector,map,list,deque,B
C++,What is copy constructor?,Creates copy,Deletes copy,Modifies object,Static function,A
C++,Which keyword exits loop?,break,exit,stop,end,A
C++,What is typecasting?,Type conversion,Type checking,Type definition,Type deletion,A
C++,Which is not pointer operation?,Addition,Subtraction,Multiplication,Comparison,C
C++,What does this pointer refer to?,Current object,Parent class,Child class,Static member,A
C++,Which is sequence container?,set,vector,map,multiset,B
C++,What is operator overloading?,Redefine operator,Create operator,Delete operator,Use operator,A
C++,Which header is for string?,string,cstring,string.h,str.h,A
C++,What does sizeof return?,Size in bytes,Size in bits,Array length,String length,A
C++,Which is not OOP concept?,Inheritance,Polymorphism,Encapsulation,Compilation,D
C++,What is dangling pointer?,Points to deleted memory,Null pointer,Valid pointer,Static pointer,A
C++,Which algorithm sorts?,sort(),find(),copy(),count(),A
C++,What does throw do?,Raise exception,Return value,Break loop,Exit program,A
C++,Which is default constructor?,No parameters,With parameters,Copy constructor,Destructor,A
C++,What is abstract class?,Has pure virtual function,No members,All static,All virtual,A
C++,Which is not standard namespace?,std,iostream,string,system,D
C++,What does return 0 indicate?,Success,Failure,Continue,Exit,A
C++,Which is multiple inheritance?,Many parents,Many children,Many functions,Many variables,A
C,Which header is for standard I/O?,stdio.h,stdlib.h,string.h,conio.h,A
C,What is the format specifier for integer?,%d,%f,%c,%s,A
C,Which function allocates memory?,malloc,free,alloc,new,A
C,What does NULL represent?,Null pointer,Zero,Empty string,Undefined,A
C,Which is not a storage class?,auto,static,extern,const,D
C,What is the size of char?,1 byte,2 bytes,4 bytes,Depends,A
C,Which function copies string?,strcpy,strcat,strlen,strcmp,A
C,What does sizeof operator return?,Size in bytes,Size in bits,Length,Count,A
C,Which is conditional operator?,?:,&&,||,!,A
C,What does break statement do?,Exit loop,Continue loop,Return value,Go to label,A
C,Which function compares strings?,strcmp,strcpy,strlen,strcat,A
C,What is pointer?,Address variable,Normal variable,Constant,Array,A
C,Which is not loop?,for,while,repeat,do-while,C
C,What does return statement do?,Return value,Break loop,Exit program,Go back,A
C,Which operator is address of?,&,*,@,#,A
C,What is array?,Collection of same type,Different types,Functions,Pointers,A
C,Which function finds string length?,strlen,strcpy,strcmp,strcat,A
C,What does preprocessor directive start with?,#,@,$,%,A
C,Which is not arithmetic operator?,+,-,*,&&,D
C,What is structure?,User-defined type,Built-in type,Function,Array,A
C,Which function concatenates strings?,strcat,strcpy,strcmp,strlen,A
C,What does void mean?,No return value,Integer return,Pointer return,Character return,A
C,Which is logical operator?,&&,&,==,+,A
C,What is enum?,Named integer constants,Float constants,Character constants,String constants,A
C,Which function deallocates memory?,free,delete,remove,clear,A
C,What does continue do?,Skip iteration,Exit loop,Return,Break,A
C,Which is relational operator?,<,+,-,*,A
C,What is typedef?,Create alias,Define variable,Declare function,Include file, A
