topic,question,A,B,C,D,correct
Web Design,Which are valid HTTP methods?,GET,POST,FETCH,DELETE,"A,B,D"
Web Design,Which properties control spacing?,margin,padding,spacing,gap,"A,B,D"
Web Design,Which are CSS pseudo-classes?,:hover,:active,:click,:focus,"A,B,D"
Web Design,Which elements are inline by default?,<span>,<a>,<div>,<img>,"A,B,D"
Web Design,Which are CSS color formats?,Hexadecimal,RGB,CMYK,HSL,"A,B,D"
Web Design,Which are JavaScript event listeners?,click,mouseover,keypress,tap,"A,B,C"
Web Design,Which HTML tags require closing tags?,<div>,<p>,<img>,<section>,"A,B,D"
Web Design,Which are CSS animation properties?,animation-duration,animation-name,animation-speed,animation-timing-function,"A,B,D"
Web Design,Which improve website accessibility?,Alt text,ARIA labels,Flash content,Semantic HTML,"A,B,D"
Web Design,Which are CSS display values?,block,inline,hidden,flex,"A,B,D"
Web Design,Which are valid font properties?,font-family,font-size,font-color,font-weight,"A,B,D"
Web Design,Which frameworks use component-based architecture?,React,Vue,jQuery,Angular,"A,B,D"
Web Design,Which are CSS background properties?,background-color,background-image,background-size,background-border,"A,B,C"
Web Design,Which optimize web performance?,Image compression,Minification,Large files,Lazy loading,"A,B,D"
Web Design,Which are valid CSS transitions?,transition-duration,transition-property,transition-speed,transition-timing-function,"A,B,D"
Web Design,Which are browser developer tools?,Console,Elements,Compiler,Network,"A,B,D"
Web Design,Which are CSS transform functions?,rotate(),scale(),compile(),translate(),"A,B,D"
Web Design,Which are valid meta tags?,viewport,description,compiler,charset,"A,B,D"
Web Design,Which JavaScript data structures exist?,Arrays,Objects,Compilers,Maps,"A,B,D"
Web Design,Which are CSS grid properties?,grid-template-columns,grid-gap,grid-border,grid-template-rows,"A,B,D"
Web Design,Which are valid link pseudo-classes?,:link,:visited,:clicked,:hover,"A,B,D"
Web Design,Which are CSS flexbox properties?,justify-content,align-items,flex-border,flex-direction,"A,B,D"
Web Design,Which improve SEO?,Meta descriptions,Heading tags,Pop-ups,Semantic markup,"A,B,D"
Web Design,Which are valid CSS overflow values?,hidden,scroll,visible,auto,"A,B,D"
Web Design,Which are CSS border properties?,border-width,border-style,border-size,border-color,"A,B,D"
Web Design,Which are JavaScript frameworks?,Angular,React,CSS,Vue,"A,B,D"
Web Design,Which are CSS text properties?,text-decoration,text-transform,text-compile,text-align,"A,B,D"
Web Design,Which are valid HTML list types?,Ordered lists,Unordered lists,Compiled lists,Definition lists,"A,B,D"
Web Design,Which CSS properties affect visibility?,opacity,visibility,display,hidden,"A,B,C"
Web Design,Which are CSS shadow properties?,box-shadow,text-shadow,border-shadow,drop-shadow,"A,B,D"
Web Design,Which validate HTML forms?,required attribute,pattern attribute,validate attribute,type attribute,"A,B,D"
Web Design,Which are valid viewport units?,vw,vh,vx,vmin,"A,B,D"
Web Design,Which are CSS filter effects?,blur(),brightness(),compile(),grayscale(),"A,B,D"
Web Design,Which are valid image formats for web?,JPEG,PNG,EXE,SVG,"A,B,D"
Web Design,Which are CSS length units?,px,em,pt,rem,"A,B,D"
Web Design,Which JavaScript methods manipulate arrays?,push(),pop(),compile(),slice(),"A,B,D"
Web Design,Which are valid CSS cursor values?,pointer,default,hand,crosshair,"A,B,D"
Web Design,Which are web storage options?,localStorage,sessionStorage,fileStorage,cookies,"A,B,D"
Web Design,Which are CSS typography properties?,line-height,letter-spacing,word-spacing,text-compile,"A,B,C"
Esports,Which heroes are classified as Marksman in Mobile Legends?,Layla,Tigreal,Clint,Balmond,"A,C"
Esports,Which items provide physical penetration in Mobile Legends?,Malefic Roar,Hunter Strike,Blade of Despair,Demon Hunter Sword,"A,B"
Esports,Which heroes have crowd control skills in Mobile Legends?,Aurora,Miya,Franco,Eudora,"A,C,D"
Esports,Which are tank emblem talents in Mobile Legends?,Tenacity,Brave Smite,Pull Yourself Together,Concussive Blast,"A,B"
Esports,Which heroes can jungle effectively in Mobile Legends?,Fanny,Lancelot,Rafaela,Ling,"A,B,D"
Esports,Which items provide magic resistance in Mobile Legends?,Athena's Shield,Oracle,Brute Force Breastplate,Radiant Armor,"A,B,D"
Esports,Which heroes are assassins in Mobile Legends?,Gusion,Harley,Karina,Alucard,"A,C"
Esports,Which battlespells provide mobility in Mobile Legends?,Flicker,Execute,Sprint,Retribution,"A,C"
Esports,Which heroes are mages in Mobile Legends?,Kagura,Cyclops,Zilong,Nana,"A,B,D"
Esports,Which items give critical strike chance in Mobile Legends?,Scarlet Phantom,Berserker's Fury,Endless Battle,Windtalker,"A,B,D"
Esports,Which heroes have global ultimate skills in Mobile Legends?,Johnson,Natalia,Atlas,Pharsa,"A,C"
Esports,Which items provide spell vamp in Mobile Legends?,Concentrated Energy,Blood Wings,Calamity Reaper,Lightning Truncheon,"A,B"
Esports,Which heroes are fighters in Mobile Legends?,Chou,Freya,Lapu-Lapu,Selena,"A,B,C"
Esports,Which items increase attack speed in Mobile Legends?,Golden Staff,Corrosion Scythe,Windtalker,Haas's Claws,"A,B,C"
Esports,Which heroes can teleport in Mobile Legends?,Fanny,Wanwan,Benedetta,Ling,"B,C"
Esports,Which emblems are best for marksmen in Mobile Legends?,Marksman Emblem,Assassin Emblem,Support Emblem,Tank Emblem,"A,B"
Esports,Which heroes have shield abilities in Mobile Legends?,Lolita,Atlas,Khufra,Ruby,"A,B,C"
Esports,Which items provide lifesteal in Mobile Legends?,Haas's Claws,Endless Battle,Festival of Blood,Bloodlust Axe,"A,B,D"
Esports,Which heroes are supports in Mobile Legends?,Estes,Diggie,Mathilda,Lesley,"A,B,C"
Esports,Which battlespells can deal damage in Mobile Legends?,Execute,Vengeance,Flameshot,Aegis,"A,B,C"
Esports,Which heroes have blink skills in Mobile Legends?,Hayabusa,Gusion,Kadita,Harley,"A,B,D"
Esports,Which items provide movement speed in Mobile Legends?,Rapid Boots,Magic Shoes,Swift Boots,Tough Boots,"A,C"
Esports,Which heroes can summon units in Mobile Legends?,Popol and Kupa,Nana,Yve,Vexana,"A,B,D"
Esports,Which items are core for tanks in Mobile Legends?,Cursed Helmet,Antique Cuirass,Dominance Ice,Twilight Armor,"A,B,C,D"
Esports,Which heroes excel at split pushing in Mobile Legends?,Sun,Zilong,Masha,Fanny,"A,B,C"
Esports,Which game modes are ranked in Mobile Legends?,Classic,Rank,Brawl,Magic Chess,"B,D"
Esports,Which heroes have resurrection abilities in Mobile Legends?,Faramis,Rafaela,Alice,Estes,"A,B"
Esports,Which items counter high HP enemies in Mobile Legends?,Demon Hunter Sword,Malefic Roar,Divine Glaive,Hunter Strike,"A,C"
Esports,Which heroes are meta in season patches for Mobile Legends?,Arlott,Fredrinn,Joy,Beatrix,"A,B,C,D"
Esports,Which roles are essential in team composition for Mobile Legends?,Tank,Marksman,Mage,Jungler,"A,B,C,D"
Esports,Which weapons are assault rifles in CODM?,M4,DL Q33,AK-47,KN-44,"A,C,D"
Esports,Which perks increase movement speed in CODM?,Lightweight,Agile,Dead Silence,Hardline,"A,B"
Esports,Which are sniper rifles in CODM?,DL Q33,Locus,Type 25,Outlaw,"A,B,D"
Esports,Which scorestreaks require high points in CODM?,UAV,Stealth Chopper,VTOL,Counter UAV,"B,C"
Esports,Which weapons are SMGs in CODM?,QQ9,RUS-79U,M4,Fennec,"A,B,D"
Esports,Which attachments improve accuracy in CODM?,Foregrip,Red Dot Sight,Tactical Laser,Monolithic Suppressor,"A,C"
Esports,Which game modes are ranked in CODM?,Team Deathmatch,Search and Destroy,Domination,Battle Royale,"B,C"
Esports,Which perks reduce explosive damage in CODM?,Flak Jacket,Trophy System,Toughness,Engineer,"A,B"
Esports,Which weapons are shotguns in CODM?,BY15,KRM 262,Striker,Chicom,"A,B,C"
Esports,Which attachments extend range in CODM?,Monolithic Suppressor,Extended Barrel,Tactical Suppressor,Long Shot,"A,B"
Esports,Which tactical equipment provides vision in CODM?,UAV,Smoke Grenade,Flash Grenade,Heartbeat Sensor,"A,D"
Esports,Which perks are red perks in CODM?,Lightweight,Agile,Ghost,Skulker,"A,B"
Esports,Which weapons are LMGs in CODM?,Chopper,RPD,UL736,ICR-1,"A,B,C"
Esports,Which maps are popular in ranked CODM?,Crash,Standoff,Nuketown,Shipment,"A,B,C"
Esports,Which optics provide zoom in CODM?,3x Tactical Scope,Red Dot Sight,Holographic Sight,6x Tactical Scope,"A,D"
Esports,Which scorestreaks provide aerial support in CODM?,Stealth Chopper,VTOL,Predator Missile,Sentry Gun,"A,B,C"
Esports,Which weapons have burst fire mode in CODM?,M16,Pharo,Chicom,Type 25,"A,B,C"
Esports,Which perks reveal enemy equipment in CODM?,Engineer,Alert,Hard Wired,Tracker,"A,B"
Esports,Which lethal equipment are throwables in CODM?,Frag Grenade,Thermite,Trip Mine,Sticky Grenade,"A,B,D"
Esports,Which attachments reduce recoil in CODM?,Foregrip,Compensator,Strike Foregrip,Operator Foregrip,"A,B,C,D"
C++,Which are valid C++ loop structures?,for,while,foreach,do-while,"A,B,D"
C++,Which are access specifiers in C++?,public,private,friend,protected,"A,B,D"
C++,Which are valid C++ data types?,int,float,double,string,"A,B,C"
C++,Which headers are part of C++ STL?,iostream,vector,algorithm,map,"A,B,C,D"
C++,Which operators are relational in C++?,==,!=,>=,&&,"A,B,C"
C++,Which are valid ways to declare pointers in C++?,int* ptr,int *ptr,int * ptr,int ptr*,"A,B,C"
C++,Which containers are sequence containers in C++?,vector,map,deque,list,"A,C,D"
C++,Which keywords are used for exception handling in C++?,try,catch,throw,finally,"A,B,C"
C++,Which are storage classes in C++?,auto,static,extern,register,"A,B,C,D"
C++,Which functions are string manipulation in C++?,strlen,strcpy,strcat,printf,"A,B,C"
C++,Which are valid function return types in C++?,void,int,char*,bool,"A,B,C,D"
C++,Which are bitwise operators in C++?,&,|,^,<<,"A,B,C,D"
C++,Which STL algorithms sort elements?,sort,stable_sort,partial_sort,reverse,"A,B,C"
C++,Which are object-oriented concepts in C++?,Encapsulation,Polymorphism,Inheritance,Compilation,"A,B,C"
C++,Which are valid ways to pass parameters in C++?,Pass by value,Pass by reference,Pass by pointer,Pass by array,"A,B,C"
C++,Which preprocessor directives are commonly used in C++?,#include,#define,#ifdef,#pragma,"A,B,C,D"
C++,Which are dynamic memory allocation functions in C++?,new,malloc,delete,free,"A,C"
C++,Which are valid constructor types in C++?,Default,Parameterized,Copy,Destructor,"A,B,C"
C++,Which operators can be overloaded in C++?,+,-,sizeof,=,"A,B,D"
C++,Which are associative containers in C++?,map,set,list,unordered_map,"A,B,D"
C++,Which modifiers affect variable storage in C++?,const,volatile,mutable,static,"A,B,C,D"
C++,Which are valid ways to initialize arrays in C++?,int arr[5],int arr[] = {1},int arr[5] = {},int *arr = new int[5],"A,B,C,D"
C++,Which are stream classes in C++?,ifstream,ofstream,fstream,iostream,"A,B,C,D"
C++,Which are valid inheritance types in C++?,public,private,protected,friend,"A,B,C"
C++,Which are logical operators in C++?,&&,||,!,&,"A,B,C"
C++,Which STL containers use hashing?,unordered_map,map,unordered_set,set,"A,C"
C++,Which are valid template types in C++?,Function template,Class template,Variable template,Namespace template,"A,B,C"
C++,Which are jump statements in C++?,break,continue,goto,return,"A,B,C,D"
C++,Which are valid cast operators in C++?,static_cast,dynamic_cast,const_cast,reinterpret_cast,"A,B,C,D"
C++,Which functions are memory manipulation in C++?,memcpy,memset,memmove,malloc,"A,B,C"
C++,Which are smart pointers in C++11?,unique_ptr,shared_ptr,weak_ptr,auto_ptr,"A,B,C"
C++,Which are valid namespaces in standard C++?,std,iostream,string,vector,"A"
C++,Which are compound assignment operators in C++?,+=,-=,*=,==,"A,B,C"
C++,Which are valid variable scopes in C++?,Local,Global,Block,Class,"A,B,C,D"
C++,Which are input/output manipulators in C++?,endl,setw,setprecision,flush,"A,B,C,D"
C++,Which keywords define class members in C++?,class,struct,union,enum,"A,B,C"
C++,Which are unary operators in C++?,++,--,!,sizeof,"A,B,C,D"
C++,Which are valid iterator types in C++?,forward_iterator,random_access_iterator,bidirectional_iterator,circular_iterator,"A,B,C"
C++,Which algorithms search for elements in C++?,find,binary_search,search,count,"A,B,C,D"
C++,Which are valid specifiers for class members in C++?,static,const,virtual,abstract,"A,B,C"
C++,Which are valid polymorphism types in C++?,Compile-time,Runtime,Function overloading,Operator overloading,"A,B,C,D"
C++,Which are valid ways to handle files in C++?,open(),close(),read(),write(),"A,B,C,D"
C++,Which are standard exception classes in C++?,runtime_error,logic_error,bad_alloc,overflow_error,"A,B,C,D"
C++,Which are valid lambda capture modes in C++?,By value,By reference,By pointer,By copy,"A,B"
C++,Which are valid ways to define constants in C++?,const,#define,enum,constexpr,"A,B,C,D"
C++,Which containers provide random access in C++?,vector,deque,array,list,"A,B,C"
C++,Which are valid function qualifiers in C++?,const,static,inline,virtual,"A,B,C,D"
C++,Which are arithmetic operators in C++?,+,-,*,&,"A,B,C"
C++,Which keywords are used for type checking in C++?,typeid,sizeof,decltype,typeof,"A,B,C"
C++,Which are valid destructor properties in C++?,No return type,Same name as class,Can be virtual,Cannot be overloaded,"A,B,C,D"
C,Which are valid C data types?,int,float,bool,double,"A,B,D"
C,Which are storage classes in C?,auto,static,extern,register,"A,B,C,D"
C,Which are valid loop structures in C?,for,while,until,do-while,"A,B,D"
C,Which are standard input/output functions in C?,printf,scanf,getchar,cin,"A,B,C"
C,Which operators are relational in C?,==,!=,<=,&&,"A,B,C"
C,Which are valid ways to declare arrays in C?,int arr[10],int arr[],int *arr,int arr(),"A,B,C"
C,Which are preprocessor directives in C?,#include,#define,#ifdef,#pragma,"A,B,C,D"
C,Which are string manipulation functions in C?,strlen,strcpy,strcat,strcmp,"A,B,C,D"
C,Which are valid pointer operations in C?,Addition,Subtraction,Multiplication,Comparison,"A,B,D"
C,Which are memory allocation functions in C?,malloc,calloc,realloc,free,"A,B,C,D"
C,Which are bitwise operators in C?,&,|,^,~,"A,B,C,D"
C,Which are valid format specifiers in C?,%d,%f,%c,%s,"A,B,C,D"
C,Which are jump statements in C?,break,continue,goto,return,"A,B,C,D"
C,Which are logical operators in C?,&&,||,!,&,"A,B,C"
C,Which headers are standard in C?,stdio.h,stdlib.h,string.h,iostream.h,"A,B,C"
C,Which are valid variable scopes in C?,Local,Global,Static,Block,"A,B,C,D"
C,Which are arithmetic operators in C?,+,-,*,%,"A,B,C,D"
C,Which are valid type qualifiers in C?,const,volatile,restrict,static,"A,B,C"
C,Which are valid file operations in C?,fopen,fclose,fread,fwrite,"A,B,C,D"
C,Which are comparison functions in C?,strcmp,memcmp,strncmp,strcoll,"A,B,C,D"
C,Which are valid escape sequences in C?,\n,\t,\0,\\,"A,B,C,D"
C,Which are character handling functions in C?,isdigit,isalpha,toupper,tolower,"A,B,C,D"
C,Which are valid ways to pass arrays to functions in C?,int arr[],int *arr,int arr[10],int &arr,"A,B,C"
C,Which are mathematical functions in C?,sqrt,pow,abs,ceil,"A,B,C,D"
C,Which are valid pointer types in C?,int*,char*,void*,float*,"A,B,C,D"
C,Which are compound assignment operators in C?,+=,-=,*=,/=,"A,B,C,D"
C,Which are valid struct operations in C?,Declaration,Initialization,Member access,Pointer access,"A,B,C,D"
C,Which are valid file modes in C?,r,w,a,b,"A,B,C,D"
C,Which are increment operators in C?,++,--,+=,-=,"A,B"
C,Which are valid union properties in C?,Shares memory,Multiple members,One active member,Type safety,"A,B,C"
C,Which are valid enum characteristics in C?,Integer constants,Named values,Type safety,Sequential values,"A,B,D"
C,Which are standard library functions for conversion in C?,atoi,atof,itoa,strtol,"A,B,D"
C,Which are valid ways to initialize pointers in C?,int *p = NULL,int *p = 0,int *p = &var,int *p = malloc(),"A,B,C,D"
C,Which are memory manipulation functions in C?,memcpy,memset,memmove,memcmp,"A,B,C,D"
C,Which are valid conditional operators in C?,?,&&,||,:,"A,D"
C,Which are valid ways to define constants in C?,#define,const,enum,static,"A,B,C"
C,Which are valid function return types in C?,void,int,float,struct,"A,B,C,D"
C,Which are valid specifiers for variables in C?,signed,unsigned,short,long,"A,B,C,D"
C,Which are standard error handling functions in C?,perror,strerror,errno,ferror,"A,B,D"
C,Which are valid ways to declare functions in C?,Function prototype,Function definition,Inline function,Static function,"A,B,C,D"
C,Which are valid array initialization methods in C?,int a[] = {1},int a[5] = {},int a[3] = {1}},int a[2],"A,B,D"
C,Which operators have side effects in C?,++,--,=,==,"A,B,C"
C,Which are valid type casting methods in C?,(int),static_cast,Implicit,Explicit,"A,C,D"
C,Which are valid macro types in C?,Object-like,Function-like,Predefined,Conditional,"A,B,C,D"
C,Which are valid buffer functions in C?,setbuf,setvbuf,fflush,getbuf,"A,B,C"
C,Which are valid time functions in C?,time,clock,difftime,strftime,"A,B,C,D"
C,Which are valid ways to handle errors in C?,Return codes,errno,Assertions,Signals,"A,B,C,D"
C,Which are sequence point operators in C?,&&,||,comma,semicolon,"A,B,C,D"
C,Which are valid variable declaration keywords in C?,int,float,auto,register,"A,B,C,D"
C,Which are valid ways to exit a program in C?,exit(),return,abort(),_Exit(),"A,B,C,D"

