C#,What are automatic properties?,Auto-implemented Properties
C#,What stores collections?,List
C#,What stores key-value pairs?,Dictionary
C#,What queries collections?,LINQ
C#,What handles errors?,Exception Handling
C#,What catches exceptions?,catch block
C#,What always executes?,finally block
C#,What throws exceptions?,throw
C#,What represents no value?,null
C#,What checks for null?,null-conditional operator
C#,What provides default for null?,null-coalescing operator
C#,What are anonymous functions?,Lambda Expressions
C#,What notifies subscribers?,Events
C#,What points to methods?,Delegates
C#,What runs asynchronously?,async/await
C#,What returns incomplete tasks?,Task
C#,What is text interpolation?,String Interpolation
C#,What formats strings?,String.Format
C#,What joins strings?,String.Join
C#,What splits strings?,String.Split
C#,What are unchangeable strings?,Immutable
C#,What builds strings efficiently?,StringBuilder
C#,What defines constants?,const
C#,What defines readonly fields?,readonly
C#,What groups related classes?,Namespace
C#,What imports namespaces?,using
C#,What builds desktop apps?,Windows Forms
C#,What is C#'s modern UI framework?,WPF
C#,What builds web apps?,ASP.NET
C#,What is C#'s package manager?,NuGet
C#,What tests C# code?,NUnit
Python,What is Python's package installer?,pip
Python,What outputs to console?,print
Python,What accepts user input?,input
Python,What defines functions?,def
Python,What defines classes?,class
Python,What creates objects?,Constructor
Python,What is the constructor method?,__init__
Python,What refers to the instance?,self
Python,What are ordered collections?,Lists
Python,What are immutable sequences?,Tuples
Python,What are key-value stores?,Dictionaries
Python,What are unordered unique collections?,Sets
Python,What iterates over sequences?,for loop
Python,What loops while condition is true?,while loop
Python,What exits a loop?,break
Python,What skips iteration?,continue
Python,What tests conditions?,if statement
Python,What handles multiple conditions?,elif
Python,What handles exceptions?,try-except
Python,What always executes?,finally
Python,What raises exceptions?,raise
Python,What represents nothing?,None
Python,What checks identity?,is
Python,What checks membership?,in
Python,What are anonymous functions?,Lambda
Python,What applies functions to iterables?,map
Python,What filters iterables?,filter
Python,What reduces iterables to single value?,reduce
Python,What are list expressions?,List Comprehension
Python,What imports modules?,import
Python,What imports specific items?,from import
Python,What reads files?,open
Python,What closes files?,close
Python,What ensures file closing?,with statement
Python,What formats strings?,f-strings
Python,What joins strings?,join
Python,What splits strings?,split
Python,What gets string length?,len
Python,What slices sequences?,Slicing
Python,What unpacks sequences?,Unpacking
Python,What are multiple values?,Tuples
Python,What defines multiple inheritance?,Multiple Inheritance
Python,What decorates functions?,Decorator
Python,What generates values lazily?,Generator
Python,What yields values?,yield
Python,What handles web requests?,requests library
Python,What analyzes data?,pandas
Python,What performs numerical computing?,NumPy
Python,What creates visualizations?,Matplotlib
Python,What builds web apps?,Django or Flask
Python,What tests Python code?,pytest
Python,What manages virtual environments?,venv
Web Design,What language structures web pages?,HTML
Web Design,What language styles web pages?,CSS
Web Design,What language adds interactivity?,JavaScript
Web Design,What is a clickable element?,Link
Web Design,What displays images?,img tag
Web Design,What creates paragraphs?,p tag
Web Design,What creates headings?,h1 to h6 tags
Web Design,What creates lists?,ul or ol tags
Web Design,What creates tables?,table tag
Web Design,What groups content?,div tag
Web Design,What styles inline content?,span tag
Web Design,What creates forms?,form tag
Web Design,What creates input fields?,input tag
Web Design,What creates buttons?,button tag
Web Design,What selects by ID?,# selector
Web Design,What selects by class?,. selector
Web Design,What changes text color?,color property
Web Design,What changes background?,background property
Web Design,What changes font size?,font-size property
Web Design,What adds spacing inside?,padding
Web Design,What adds spacing outside?,margin
Web Design,What creates borders?,border property
Web Design,What arranges elements?,display property
Web Design,What creates flexible layouts?,Flexbox
Web Design,What creates grid layouts?,CSS Grid
Web Design,What positions elements?,position property
Web Design,What makes sites mobile-friendly?,Responsive Design
Web Design,What adapts to screen size?,Media Queries
Web Design,What is relative sizing unit?,rem or em
Web Design,What is viewport width unit?,vw
Web Design,What is viewport height unit?,vh
Web Design,What creates animations?,CSS Animation
Web Design,What creates smooth changes?,Transition
Web Design,What applies 3D transforms?,transform property
Web Design,What changes on hover?,:hover pseudo-class
Web Design,What styles first element?,:first-child
Web Design,What includes external CSS?,link tag
Web Design,What includes external JS?,script tag
Web Design,What is a CSS framework?,Bootstrap
Web Design,What is a modern CSS framework?,Tailwind CSS
Web Design,What is a JavaScript library?,jQuery
Web Design,What is a JavaScript framework?,React
Web Design,What builds user interfaces?,Vue
Web Design,What is an Angular alternative?,Angular
Web Design,What optimizes page speed?,Performance Optimization
Web Design,What improves search ranking?,SEO
Web Design,What ensures usability?,Accessibility
Web Design,What designs before coding?,Wireframe
Web Design,What is visual mockup?,Prototype
Web Design,What are clickable areas?,Navigation
Esports,What is the popular mobile MOBA game?,Mobile Legends Bang Bang
Esports,What developer created Mobile Legends?,Moonton
Esports,What are the playable characters in Mobile Legends?,Heroes
Esports,What role deals high damage from distance in Mobile Legends?,Marksman
Esports,What role initiates team fights in Mobile Legends?,Tank
Esports,What role deals magical damage in Mobile Legends?,Mage
Esports,What role eliminates enemy carries in Mobile Legends?,Assassin
Esports,What role assists teammates in Mobile Legends?,Support
Esports,What role dominates lanes in Mobile Legends?,Fighter
Esports,What is the main objective in Mobile Legends?,Destroy the enemy base
Esports,What are the defensive structures in Mobile Legends?,Turrets
Esports,What is the final structure to destroy?,Base or Nexus
Esports,What are jungle monsters in Mobile Legends?,Creeps
Esports,What powerful monster gives team buff in Mobile Legends?,Lord
Esports,What monster gives gold in Mobile Legends?,Turtle
Esports,What is the starting phase called in Mobile Legends?,Early Game
Esports,What is the middle phase called in Mobile Legends?,Mid Game
Esports,What is the final phase called in Mobile Legends?,Late Game
Esports,What ability is unique to each hero?,Ultimate
Esports,What items increase hero power in Mobile Legends?,Equipment
Esports,What are the three paths in Mobile Legends?,Lanes
Esports,What is the competitive ranking system?,Ranked Mode
Esports,What is the highest rank in Mobile Legends?,Mythical Glory
Esports,What is Mobile Legends' world championship?,M-Series or MPL
Esports,What is Call of Duty Mobile abbreviated as?,CODM
Esports,What developer created CODM?,Activision
Esports,What is the battle royale mode in CODM?,Battle Royale
Esports,What is the team deathmatch mode in CODM?,Multiplayer
Esports,What are playable characters in CODM?,Operators
Esports,What are weapon attachments in CODM?,Gunsmith
Esports,What is the ranked competitive mode in CODM?,Ranked Match
Esports,What is the highest rank in CODM?,Legendary
Esports,What ability can players use in CODM?,Operator Skills
Esports,What are AI-controlled rewards in CODM?,Scorestreaks
Esports,What is the popular sniper rifle in CODM?,DLQ33
Esports,What is the popular assault rifle in CODM?,AK-47
Esports,What game mode plants bombs in CODM?,Search and Destroy
Esports,What game mode captures points in CODM?,Domination
Esports,What game mode defends hardpoint in CODM?,Hardpoint
Esports,What customizes weapon appearance in CODM?,Skins
Esports,What is the in-game currency in CODM?,CP (COD Points)
Esports,What is CODM's world championship?,CODM World Championship
Esports,What improves aim accuracy in both games?,Sensitivity Settings
Esports,What is team strategy planning?,Draft Phase
Esports,What eliminates all enemies in Mobile Legends?,Wipeout
Esports,What is a killing streak in CODM?,Kill Streak
Esports,What is the MVP award?,Most Valuable Player
Esports,What measures player performance?,KDA (Kills Deaths Assists)
Esports,What is professional team training?,Scrim
Esports,What analyzes opponent strategies?,VOD Review
C++,What is C++'s output stream?,cout
C++,What is C++'s input stream?,cin
C++,What includes libraries?,#include
C++,What defines constants?,#define
C++,What is the entry point?,main function
C++,What allocates memory?,new
C++,What deallocates memory?,delete
C++,What are memory addresses?,Po
C,What is C's standard output function?,printf
C,What is C's standard input function?,scanf
C,What includes header files?,#include
C,What is the entry point of C programs?,main function
C,What stores memory addresses?,Pointer
C,What allocates memory dynamically?,malloc
C,What frees allocated memory?,free
C,What reallocates memory?,realloc
C,What allocates zeroed memory?,calloc
C,What dereferences pointers?,* operator
C,What gets variable address?,& operator
C,What are fixed-size collections?,Arrays
C,What are text sequences?,Strings
C,What terminates strings?,Null character
C,What copies strings?,strcpy
C,What compares strings?,strcmp
C,What concatenates strings?,strcat
C,What gets string length?,strlen
C,What groups variables?,Struct
C,What shares memory among members?,Union
C,What names integer constants?,Enum
C,What creates aliases for types?,typedef
C,What prevents modification?,const
C,What defines constants?,#define
C,What makes functions inline?,Static inline
C,What are conditional directives?,Preprocessor directives
C,What compiles conditionally?,#ifdef
C,What includes once?,#ifndef guards
C,What are decision statements?,if-else
C,What handles multiple cases?,switch-case
C,What loops with condition?,while loop
C,What loops at least once?,do-while loop
C,What loops with counter?,for loop
C,What exits loops?,break
C,What skips iteration?,continue
C,What jumps to label?,goto
C,What returns from functions?,return
C,What are function parameters?,Arguments
C,What passes copies?,Pass by value
C,What passes addresses?,Pass by reference
C,What opens files?,fopen
C,What closes files?,fclose
C,What reads from files?,fread or fscanf
C,What writes to files?,fwrite or fprintf
C,What repositions file pointer?,fseek
C,What are bit operations?,Bitwise operators
C,What performs AND operation?,& operator
C,What performs OR operation?,| operator
C,What performs XOR operation?,^ operator
C,What shifts bits left?,<< operator
C,What shifts bits right?,>> operator
C,What inverts bits?,~ operator
